### QGAP data-file 20-15-35.dat ###

param: I: a:= 
1 102
2 198
3 140
4 126
5 260
6 174
7 148
8 202
9 228
10 256
11 250
12 236
13 206
14 221
15 110
;

set J := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ;

set R := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set S := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ;
 
param w :
     1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20 := 
 1  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
 2  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
 3  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
 4  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
 5  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
 6  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
 7  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
 8  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
 9  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
10  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
11  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
12  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
13  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
14  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82
15  17  30  53  94  17  70  22  49  12   8  38  27  36  98  53  76  64  76  78  82 ;
 
param p :
         1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20 := 
 1   69533  136020   78585   38758  124729  170085   49269  146067   23029  110550  131754   35425   20068  157548  105124   39942  112509   41706    7361  167717
 2   16095  183239  147251   79964  155534   82522   31818   31678   58546  163646   41010  101010   93087   62770   49745  132688  134794  141776  183690  115823
 3  195171  177697   30939   70253   33759  122183   14099  133579  124729  198791  159099  114114  125919   39564   78359   52620  165300  163090   63429    4541
 4  147691   80117  114133  157292  187462  116702   89333   26306   71932   91567   27661   58143   89034  148246  156944  162175  161375   40510  164036   49061
 5  129093  167772   75875  107583   23737   52754  100436  169737  174059   71181   71529   74428  188830    8929  167186    1886  120090   11456   34571  157701
 6   83358   20398  194299  142277  171086   83516   66536   26532   13220  135288  158384   55104  111679   33491  175945  114346  180712  143528   53541  137394
 7   20337   77822   82058  189678  102822   23517   56672   50666   81490  181762   85995  138309  158964  130375  103775  126194  128757  124301   84463  128543
 8   16016  118570  143888  143382   56526  119693   64644    5029   23499   71718  124405  175225  168480  100949  114828   15607    4803   31873   63173  130417
 9   81789    7458    5542   42524  119223   12720  168730  150071    7232  174877   98562  152348      61  134134   75069   17731  164238  140867    2569    2453
10  157976   92532   91598   81234   59327   85000  166356  114456  166258   33698   41108   33265   13855   80648   23255   26508  135123  199182   22449   52150
11  168504    4309  137186   55720  128025  179503  151670   90768  185070    5529   21655   80013  192028   69338  135154  101571  126633   81386   99270   71633
12  162474  128989  148661    9424  171117  185735   62837  140726  199530   47425  141093  150132   45875   10925   66286  154820   87520   47956  164299   47627
13   71181     219    1928  116745   57216  168059   26587   18768   59224  121427   82064    1971  114938  164482  121005  114322   78920  127298   39185  159965
14  112869  193298   69020  194622   52644   57826   10779   30256  181322  174767   75508   58198  148094    3692  108072   23206   60164   69771  169817     189
15  172820    8337  106906    4516  115518   93820   92812   72542   58809   84127   90481   46046    8697   45210  170818  170409  163402   62648  187749  141727 ;
 
param d :
     1   2   3   4   5   6   7   8   9  10  11  12  13  14  15 := 
 1   0  10 174  84  32   4 162  40  68 122 152  10  10  16 154
 2  10   0 146  56 118  38 184  84 102  12  32 118 196 168  58
 3 174 146   0 198  68 186 146 126  98  98 160   4  40   6  26
 4  84  56 198   0  54  16  36  64 186 138  54 122  78 126  50
 5  32 118  68  54   0  46 132 136 142  50  58 178  68  96 102
 6   4  38 186  16  46   0 138 154  84  26 160 180 114  64  42
 7 162 184 146  36 132 138   0 182  50 168 158 194  70 190 186
 8  40  84 126  64 136 154 182   0 130 172  64 170  84 162  60
 9  68 102  98 186 142  84  50 130   0 148 184 102   6 114 100
10 122  12  98 138  50  26 168 172 148   0 116  96 138 162 134
11 152  32 160  54  58 160 158  64 184 116   0   4 196 154  96
12  10 118   4 122 178 180 194 170 102  96   4   0 120 158 156
13  10 196  40  78  68 114  70  84   6 138 196 120   0 178  46
14  16 168   6 126  96  64 190 162 114 162 154 158 178   0  64
15 154  58  26  50 102  42 186  60 100 134  96 156  46  64   0 ;
 
param f :
     1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20 := 
 1   0  33  41   9  16  56  59  63  21  39  48  49   9  53  43  78  61  93  77  46
 2  33   0  49  91  78  23  71   7  12  22  40  46  92  68  59  76  69  17  47  91
 3  41  49   0  41  38  44  90  84  24  65  26  42  21  20  84  90  65  83  50  95
 4   9  91  41   0   6  17  29  88  99  37  68  92  65  38  55  93  72  41  34  14
 5  16  78  38   6   0  68  97  18  78  99  16  36  14  39  33  99  90   1  16  89
 6  56  23  44  17  68   0  47  15  45  17  11  51  23  38  36  38  42  88  82  29
 7  59  71  90  29  97  47   0  15  12  87   5  29  68   7  74  86  43  33  90  53
 8  63   7  84  88  18  15  15   0  80  57  67  36  67  88  55  83  71  80  82  38
 9  21  12  24  99  78  45  12  80   0  35  13  94  26  11  14   1  16  42  13  15
10  39  22  65  37  99  17  87  57  35   0  87  42  21  11  58  11   6  47  61  20
11  48  40  26  68  16  11   5  67  13  87   0  93  85  76  28  42  69  51  92  47
